RA,DEC,mag,BPmag,RPmag,e_Gmag,e_BPmag,e_RPmag,color,V,I,color_err,V_err,I_err,catalog
266.02851068602,-39.15575723151,13.515683,13.857226,12.986703,0.002764,0.002838,0.003841,0.8705230000000004,13.670507530619222,12.921976695669779,0.004775722458434954,0.04596482595896704,0.04971271050551818,Gaia3
265.98958336904,-39.17257221177,13.501056,14.498261,12.523246,0.002764,0.002935,0.003824,1.975014999999999,14.20780311503897,12.39061727163917,0.004820498003318745,0.046061820945710284,0.049667590293610786,Gaia3
265.95948460214,-39.15948580409,14.336563,14.770863,13.695962,0.002857,0.003013,0.003884,1.0749010000000006,14.561654206937533,13.629521693210435,0.00491565102504236,0.0459847069035483,0.04971185443393306,Gaia3
265.9604578172,-39.15869198594,14.563232,14.978039,13.962141,0.002764,0.002982,0.003874,1.015898,14.766551903157172,13.88808388856617,0.004888783079663077,0.04597469027373742,0.04970879209579967,Gaia3
265.99003792244,-39.13875507294,13.625785,13.927843,13.145549,0.002865,0.003982,0.004576,0.7822939999999985,13.754747148741915,13.083491251043613,0.006065978898743385,0.04597831012721968,0.04977211403825014,Gaia3
265.99566311637,-39.13573966577,13.653906,14.286801,12.883959,0.002759,0.00305,0.003815,1.4028419999999997,14.021981151370163,12.781822294548402,0.004884334652744425,0.04600393461040953,0.04969017484740324,Gaia3
265.9919641137,-39.13363290981,14.005747,14.889567,13.077028,0.002763,0.003002,0.003827,1.8125389999999992,14.604794566453437,12.956581330310238,0.004863942125478057,0.04604477709284167,0.049673709485075296,Gaia3
266.00217960553,-39.11687293895,12.550015,12.294204,11.593925,0.002867,0.00545,0.004351,0.7002790000000001,12.657354579342062,12.056857536082866,0.006973786704509968,0.045980449929753475,0.04982301728413981,Gaia3
265.95603462642,-39.14366351765,11.973289,12.705176,11.14151,0.002764,0.002841,0.003791,1.5636659999999996,12.425098644235097,11.02783809103884,0.004737400341959713,0.04601465220877811,0.04968090398685881,Gaia3
265.95465665671,-39.14032929529,13.534804,13.557636,13.533496,0.003531,0.007608,0.006121,0.02414000000000094,13.55267053089872,13.496100657650874,0.00976464566689442,0.04599398024052877,0.050204451673400055,Gaia3
265.94670409129,-39.13065017709,13.832899,14.719284,12.873882,0.002769,0.003078,0.003815,1.845402,14.452992537125812,12.770929783841881,0.004901867909277034,0.046050561915058796,0.049673425740088525,Gaia3
265.94397902254,-39.10432000123,12.061725,12.444132,11.508494,0.002763,0.002818,0.003787,0.9356379999999991,12.23736595517202,11.431036720361009,0.004720433560595891,0.04596771811831325,0.049707720562945465,Gaia3
265.95587260104,-39.09602444294,12.319057,12.712873,11.749222,0.002765,0.002824,0.003797,0.9636510000000005,12.504105192725534,11.672710028288336,0.004732038144394019,0.04596955642358668,0.04970682113918652,Gaia3
265.9682075392,-39.0928271594,13.824925,14.29155,13.1848,0.002761,0.00291,0.003805,1.1067500000000017,14.062269216425,13.100946866624376,0.004790211373206823,0.04597905670207564,0.04970141988704117,Gaia3
