RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.09666329064,-39.11206738052,15.647769,0.00281,-2.115,-4.609,0.1987,Gaia
266.10210470537,-39.11980560307,14.675341,0.002765,-22.391,-18.667,0.8892,Gaia
266.10229299516,-39.11058301915,15.760717,0.002788,-0.626,-2.759,0.3311,Gaia
266.09924779962,-39.11211352724,15.132908,0.002772,1.33,-2.813,0.2946,Gaia
266.11742513066,-39.10458046678,15.491154,0.00277,4.023,1.959,1.1448,Gaia
266.10912473996,-39.10531269256,12.316296,0.002761,-2.51,-9.983,1.4157,Gaia
266.11540088124,-39.09715759126,15.97387,0.002889,0.693,1.426,0.5396,Gaia
266.11364327089,-39.09954191032,15.012961,0.002855,-1.713,-6.248,-0.3289,Gaia
266.11550912074,-39.09544493153,15.817596,0.00278,-0.54,-0.329,0.4428,Gaia
266.13351331916,-39.10603042413,14.680356,0.002768,-0.034,-1.58,0.2918,Gaia
266.13373613422,-39.10473581035,15.574285,0.002778,-0.091,-0.8,0.1952,Gaia
266.13563010538,-39.09459913908,14.720005,0.002839,-2.856,1.053,0.485,Gaia
266.13594840218,-39.10385764872,15.938313,0.002779,-7.475,-7.353,0.4149,Gaia
266.12575819089,-39.09963116861,15.551398,0.002776,-1.545,-2.57,0.4075,Gaia
266.13098465235,-39.09516243963,14.170966,0.006615,-2.586,-4.451,0.1024,Gaia
266.12965746221,-39.09568000953,15.404562,0.002781,-2.442,-1.783,0.1187,Gaia
266.13174878162,-39.09287910796,15.276518,0.002769,5.821,-1.237,0.7383,Gaia
266.13865371557,-39.09339748583,15.35909,0.002785,0.703,-5.181,0.1409,Gaia
266.14130439454,-39.08826313676,14.837544,0.002773,0.973,-0.994,0.2177,Gaia
266.12214325735,-39.08230533712,15.616022,0.002796,-3.292,-6.783,0.022,Gaia
266.12652482618,-39.09334118913,15.320776,0.002772,12.907,-7.841,1.7046,Gaia
266.12410104757,-39.08920146389,13.74586,0.002768,0.226,-0.289,0.7677,Gaia
266.13020566555,-39.08801038585,15.413423,0.002777,-3.624,-4.039,0.1604,Gaia
266.1430477819,-39.07674131357,15.16632,0.002815,-3.691,-5.986,0.0585,Gaia
266.12886799818,-39.07798398035,14.273878,0.002766,-3.997,-4.71,0.3709,Gaia
266.12550087558,-39.08002495027,15.095953,0.002787,-0.291,-8.132,0.0416,Gaia
266.13367511583,-39.07027406041,15.843028,0.002781,-3.22,-4.639,0.0696,Gaia
265.97896406317,-39.18717285781,14.676523,0.003063,0.311,-3.423,0.6577,Gaia
265.96705887827,-39.17907729259,15.516566,0.002773,-0.746,-0.386,0.3427,Gaia
265.95584330985,-39.17185412174,13.114241,0.002762,-1.183,-7.901,0.3449,Gaia
265.95504927296,-39.16845301929,15.025971,0.002795,-1.395,-0.253,0.7483,Gaia
266.00340560585,-39.19473586503,15.158283,0.002804,-2.018,-3.122,0.4305,Gaia
266.00934602021,-39.19740883526,13.188941,0.002787,0.723,-3.01,0.1632,Gaia
