RA,DEC,mag,e_Gmag,pmRA,pmDE,Plx,catalog
266.03124914873,-39.11666170772,15.898895,0.002789,-0.74,-4.471,0.2531,Gaia
266.02459439223,-39.11269955984,15.278037,0.002776,0.626,-2.814,0.2743,Gaia
266.01978286766,-39.11547813652,15.48042,0.002771,0.621,-3.163,0.4637,Gaia
266.00572654252,-39.11287038755,13.029067,0.002775,-5.453,-14.755,1.3296,Gaia
266.01263421072,-39.10854594885,15.527128,0.002796,-3.901,-2.194,0.0603,Gaia
266.02921015471,-39.1036910363,15.683085,0.002788,-1.301,-4.058,0.4147,Gaia
266.01653823077,-39.10041387909,14.947869,0.002802,-3.672,-6.893,0.0778,Gaia
266.04996378936,-39.09759393191,15.283421,0.002779,1.527,1.09,0.3118,Gaia
266.05063887551,-39.09038092924,14.813465,0.003008,-3.863,-6.671,0.0972,Gaia
266.06202898821,-39.09010282397,12.151931,0.002761,-0.704,-5.046,0.6952,Gaia
266.03817161984,-39.08239562434,15.250518,0.002788,-4.253,-7.317,0.0059,Gaia
266.0312687112,-39.09504980228,15.275952,0.002792,-2.175,-4.686,0.1242,Gaia
266.02858949825,-39.09190842321,14.425877,0.002761,-4.449,-17.313,1.5633,Gaia
266.0305204158,-39.08905649072,15.041543,0.002766,-3.124,-4.157,0.5661,Gaia
266.03712849746,-39.07768454671,15.824499,0.00281,-4.453,-0.796,0.2208,Gaia
266.04622759847,-39.08629751709,15.239211,0.002767,-2.933,-6.754,0.5058,Gaia
266.09245970633,-39.10610506737,14.865306,0.002777,-2.129,-0.168,0.131,Gaia
266.09390413602,-39.09842211215,15.026155,0.002837,-3.672,-6.055,0.0644,Gaia
266.09033825005,-39.11148666055,15.946953,0.003046,2.008,2.667,0.2105,Gaia
