Timestamp,Telescope,Filter,Magnitude,Error,Source
2025-02-27 07:46:18,,OMEGA_cal_apphot_gp,18.31531373,0.054,OMEGA_cal_apphot_gp
2025-02-27 07:40:53,,OMEGA_apphot_gp,20.075204455,0.073,OMEGA_apphot_gp
2025-02-27 07:40:53,,OMEGA_cal_apphot_gp,18.285242255,0.07,OMEGA_cal_apphot_gp
2025-02-27 07:40:52,,OMEGA_cal_apphot_gp,18.298198308,0.053,OMEGA_cal_apphot_gp
2025-02-27 07:40:52,,OMEGA_apphot_gp,20.089231361,0.053,OMEGA_apphot_gp
2025-02-27 07:36:53,,OMEGA_cal_apphot_ip,16.574471921,0.052,OMEGA_cal_apphot_ip
2025-02-27 07:36:53,,OMEGA_apphot_ip,18.771896145,0.051,OMEGA_apphot_ip
2025-02-27 07:36:52,,OMEGA_apphot_ip,18.747738567,0.052,OMEGA_apphot_ip
2025-02-27 07:36:52,,OMEGA_cal_apphot_ip,16.550822605,0.053,OMEGA_cal_apphot_ip
2025-02-27 07:34:26,,OMEGA_apphot_ip,18.723747235,0.069,OMEGA_apphot_ip
2025-02-27 07:34:26,,OMEGA_cal_apphot_ip,16.527336037,0.069,OMEGA_cal_apphot_ip
2025-02-27 07:34:26,,OMEGA_cal_apphot_ip,16.562889502,0.065,OMEGA_cal_apphot_ip
2025-02-27 07:34:26,,OMEGA_apphot_ip,18.760064801,0.065,OMEGA_apphot_ip
2025-02-27 07:32:01,,OMEGA_cal_apphot_ip,16.558747045,0.087,OMEGA_cal_apphot_ip
2025-02-27 07:32:01,,OMEGA_apphot_ip,18.755833316,0.088,OMEGA_apphot_ip
2025-02-27 07:31:57,,OMEGA_apphot_ip,18.751534262,0.101,OMEGA_apphot_ip
2025-02-27 07:31:57,,OMEGA_cal_apphot_ip,16.554538441,0.1,OMEGA_cal_apphot_ip
2025-02-27 07:29:35,,OMEGA_apphot_ip,18.751057439,0.049,OMEGA_apphot_ip
2025-02-27 07:29:35,,OMEGA_cal_apphot_ip,16.55407165,0.05,OMEGA_cal_apphot_ip
2025-02-27 07:29:32,,OMEGA_cal_apphot_ip,16.543433584,0.057,OMEGA_cal_apphot_ip
2025-02-27 07:29:32,,OMEGA_apphot_ip,18.740190744,0.057,OMEGA_apphot_ip
2025-02-27 03:21:13,,OMEGA_apphot_gp,20.067105673,0.082,OMEGA_apphot_gp
2025-02-27 03:21:13,,OMEGA_cal_apphot_gp,18.277761756,0.079,OMEGA_cal_apphot_gp
2025-02-27 03:15:47,,OMEGA_cal_apphot_gp,18.32820612,0.051,OMEGA_cal_apphot_gp
2025-02-27 03:15:47,,OMEGA_apphot_gp,20.121719401,0.05,OMEGA_apphot_gp
2025-02-27 03:11:39,,OMEGA_cal_apphot_ip,16.568098125,0.073,OMEGA_cal_apphot_ip
2025-02-27 03:11:39,,OMEGA_apphot_ip,18.765385365,0.073,OMEGA_apphot_ip
2025-02-27 03:09:14,,OMEGA_apphot_ip,18.760387687,0.044,OMEGA_apphot_ip
2025-02-27 03:09:14,,OMEGA_cal_apphot_ip,16.563205595,0.045,OMEGA_cal_apphot_ip
2025-02-27 03:06:49,,OMEGA_apphot_ip,18.776910511,0.059,OMEGA_apphot_ip
2025-02-27 03:06:49,,OMEGA_cal_apphot_ip,16.579380788,0.059,OMEGA_cal_apphot_ip
2025-02-27 03:04:21,,OMEGA_apphot_ip,18.803693652,0.048,OMEGA_apphot_ip
2025-02-27 03:04:21,,OMEGA_cal_apphot_ip,16.605600427,0.049,OMEGA_cal_apphot_ip
2025-02-27 02:46:00,,OMEGA_apphot_gp,20.104701761,0.044,OMEGA_apphot_gp
2025-02-27 02:46:00,,OMEGA_cal_apphot_gp,18.312487655,0.046,OMEGA_cal_apphot_gp
2025-02-27 02:40:34,,OMEGA_cal_apphot_gp,18.322372674,0.046,OMEGA_cal_apphot_gp
2025-02-27 02:40:34,,OMEGA_apphot_gp,20.115403804,0.043,OMEGA_apphot_gp
2025-02-27 02:36:32,,OMEGA_apphot_ip,18.771065614,0.045,OMEGA_apphot_ip
2025-02-27 02:36:32,,OMEGA_cal_apphot_ip,16.573658864,0.047,OMEGA_cal_apphot_ip
2025-02-27 02:34:07,,OMEGA_cal_apphot_ip,16.55313451,0.053,OMEGA_cal_apphot_ip
2025-02-27 02:34:07,,OMEGA_apphot_ip,18.750100159,0.052,OMEGA_apphot_ip
2025-02-27 02:31:39,,OMEGA_cal_apphot_ip,16.56542525,0.064,OMEGA_cal_apphot_ip
2025-02-27 02:31:39,,OMEGA_apphot_ip,18.762655047,0.063,OMEGA_apphot_ip
2025-02-27 02:29:14,,OMEGA_cal_apphot_ip,16.608056104,0.086,OMEGA_cal_apphot_ip
