night,filename,filter,exptime,n_detected,n_good,fwhm_p25,fwhm_median,fwhm_p75,ellip_p25,ellip_median,ellip_p75,theta_mean,theta_concentration,snr_median,snr_p75,snr_max,mag_peak,mag_median
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0018_wcs.fits,V,90.0,211,160,5.1425,5.645,6.2775,0.1295,0.1735,0.26525,-11.283952773905659,0.5614464104267838,30.85,60.775000000000006,284.9,16.388121250000005,15.91265
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0019_wcs.fits,V,90.0,180,127,5.779999999999999,6.56,7.755,0.1125,0.171,0.2775,-2.1401229974361247,0.639844684099067,37.49,73.91,416.3,16.1394275,15.8055
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0021_wcs.fits,V,90.0,218,161,5.53,6.08,7.01,0.121,0.164,0.271,-26.70870496243435,0.5773265803976315,32.99,68.11,485.1,16.33571875,15.7388
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0024_wcs.fits,V,90.0,175,111,7.95,9.23,10.530000000000001,0.269,0.319,0.4355,-0.1786732927727426,0.8113126960352082,41.58,83.67,477.4,15.7498625,15.4228
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0025_wcs.fits,V,90.0,284,208,5.7075,6.195,7.2325,0.13975,0.2005,0.29825,-19.62926919896309,0.6596918238511555,33.870000000000005,72.7225,568.3,16.341475,15.806750000000001
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0026_wcs.fits,V,90.0,325,228,6.05,7.33,8.49,0.2135,0.2775,0.34724999999999995,-6.067807979095693,0.6809222963679815,32.644999999999996,63.337500000000006,649.7,15.939061249999998,15.81245
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0027_wcs.fits,V,90.0,197,140,6.3549999999999995,7.47,8.192499999999999,0.27375000000000005,0.326,0.42174999999999996,-12.123204500575424,0.7371923012694389,34.985,68.43,441.7,16.00534375,15.70315
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0028_wcs.fits,V,90.0,401,287,5.695,6.34,7.285,0.0815,0.144,0.28,-4.881868453161443,0.30439523068423424,28.73,55.325,679.7,16.310767499999997,16.0005
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0029_wcs.fits,V,90.0,356,247,6.395,7.04,8.18,0.111,0.179,0.2985,-13.776124541049144,0.543735674272689,32.03,60.705,686.5,16.255200000000002,15.8048
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0030_wcs.fits,V,90.0,365,277,5.53,5.94,6.78,0.089,0.165,0.255,-28.786199113554535,0.38858512021943276,30.2,64.07,648.6,16.3911875,15.9736
20250603,/home/knowogrodski/Documentos/observation_HSH/ulens_hsh/ulens_hsh/data/20250603/FBOGLE-2024-BLG-0034v0031_wcs.fits,V,90.0,253,181,5.84,6.33,7.26,0.084,0.138,0.259,-21.932663167915383,0.43627831911377224,34.3,72.0,511.6,16.51245625,15.8557
