RA,DEC,B,B_err,V,V_err,R,R_err,I,I_err
276.95353955,-26.66171697,14.983757,0.03518180626403369,13.762814,0.02683457858808295,13.067658999999999,0.028304554845466127,12.263261,0.02884732556061307
276.95378723,-26.66005861,18.518791000000004,0.039971304206893224,17.540482,0.017694288343982643,16.977216999999996,0.019852890217799523,16.417743,0.02000390361904396
276.95826353,-26.66235379,17.760621000000004,0.035739422770940214,16.682142,0.016971687011019265,16.064427,0.019210924626368194,15.425333000000002,0.018869759934879934
276.95922662,-26.66449246,18.315363,0.035739050798811095,17.163425999999998,0.016279890908725402,16.505781,0.018602538805227633,15.905499,0.021261748564029254
276.96349858,-26.65915435,19.211810000000003,0.04282083815153552,18.30362,0.029549996954314563,17.778469999999995,0.0308920074614778,17.23913,0.02000898997950671
276.96774594,-26.66215356,19.445961000000004,0.04342889936436336,18.567822,0.01844270045302477,18.059006999999998,0.020523355597952302,17.530153,0.03138848196393065
276.96997568,-26.66152884,18.771331000000004,0.03640551919695694,17.325562,0.016971890643060365,16.508197,0.019211205714374097,15.744163,0.021933538884548475
276.97022936,-26.66440664,19.742652,0.03945413620902123,18.427104,0.01697287058808851,17.680524,0.019212558392884587,17.022596,0.022630494117451348
276.97160061,-26.65989754,17.894164000000004,0.03584305221378336,16.827928,0.08188993960188272,16.216867999999998,0.0823863062043687,15.695972,0.020656974415436544
276.97703473,-26.66409227,17.465952,0.035740263737135465,16.261704,0.01844032667823431,15.575624,0.020520022538973975,14.896496,0.0200020286971097
276.97869528,-26.66164234,19.24555,0.03606142764783447,18.3151,0.01921075573734672,17.77785,0.021215160263358842,17.24515,0.018870465389067646
